rep,T_noise,a_true,budget,algorithm,estimate,abs_error,nrmse,common_budget_ceiling
3,5.0,0.8,200,BAE,0.7424825433774885,0.05751745662251151,0.07189682077813939,25580
3,5.0,0.8,200,BIQAE,0.7280687392800427,0.07193126071995737,0.08991407589994671,25580
3,5.0,0.8,200,CABIQAE_latentt,0.7698581078520318,0.030141892147968252,0.037677365184960315,25580
3,5.0,0.8,400,BAE,0.8302342710304488,0.030234271030448734,0.03779283878806092,25580
3,5.0,0.8,400,BIQAE,0.7235189397299401,0.07648106027005996,0.09560132533757495,25580
3,5.0,0.8,400,CABIQAE_latentt,0.775345028869143,0.024654971130857017,0.030818713913571272,25580
3,5.0,0.8,800,BAE,0.819504925471811,0.01950492547181093,0.024381156839763662,25580
3,5.0,0.8,800,BIQAE,0.770746869951082,0.029253130048918052,0.036566412561147565,25580
3,5.0,0.8,800,CABIQAE_latentt,0.7955354398717365,0.004464560128263573,0.005580700160329466,25580
3,5.0,0.8,1600,BAE,0.8064313678403793,0.006431367840379232,0.00803920980047404,25580
3,5.0,0.8,1600,BIQAE,0.7843050443484088,0.01569495565159129,0.019618694564489114,25580
3,5.0,0.8,1600,CABIQAE_latentt,0.8030010211064936,0.0030010211064935843,0.0037512763831169804,25580
3,5.0,0.8,3200,BAE,0.8027529857696734,0.0027529857696733107,0.0034412322120916383,25580
3,5.0,0.8,3200,BIQAE,0.7843050443484088,0.01569495565159129,0.019618694564489114,25580
3,5.0,0.8,3200,CABIQAE_latentt,0.8090938624364983,0.009093862436498235,0.011367328045622793,25580
3,5.0,0.8,6400,BAE,0.807122155689783,0.007122155689782916,0.008902694612228645,25580
3,5.0,0.8,6400,BIQAE,0.7906133367912537,0.00938666320874637,0.011733329010932964,25580
3,5.0,0.8,6400,CABIQAE_latentt,0.8066274408619318,0.006627440861931788,0.008284301077414735,25580
3,5.0,0.8,12800,BAE,0.796221954452025,0.0037780455479750064,0.004722556934968758,25580
3,5.0,0.8,12800,BIQAE,0.7894608380088517,0.01053916199114835,0.013173952488935436,25580
3,5.0,0.8,12800,CABIQAE_latentt,0.8029666265639741,0.002966626563974062,0.0037082832049675774,25580
4,5.0,0.8,200,BAE,0.7912021278780267,0.00879787212197336,0.0109973401524667,25420
4,5.0,0.8,200,BIQAE,0.6843946314176474,0.1156053685823526,0.14450671072794075,25420
4,5.0,0.8,200,CABIQAE_latentt,0.7373403697710808,0.0626596302289193,0.07832453778614912,25420
4,5.0,0.8,400,BAE,0.7912021278780267,0.00879787212197336,0.0109973401524667,25420
4,5.0,0.8,400,BIQAE,0.7097503462898754,0.09024965371012461,0.11281206713765576,25420
4,5.0,0.8,400,CABIQAE_latentt,0.7425189244309607,0.057481075569039364,0.0718513444612992,25420
4,5.0,0.8,800,BAE,0.8029739841368563,0.0029739841368562336,0.003717480171070292,25420
4,5.0,0.8,800,BIQAE,0.7676447803542396,0.03235521964576049,0.040444024557200614,25420
4,5.0,0.8,800,CABIQAE_latentt,0.7631292301571411,0.036870769842858975,0.04608846230357372,25420
4,5.0,0.8,1600,BAE,0.7938351894438229,0.006164810556177125,0.007706013195221406,25420
4,5.0,0.8,1600,BIQAE,0.7822854083940585,0.017714591605941576,0.02214323950742697,25420
4,5.0,0.8,1600,CABIQAE_latentt,0.7712318564318638,0.028768143568136284,0.035960179460170355,25420
4,5.0,0.8,3200,BAE,0.8035777542713174,0.003577754271317346,0.0044721928391466825,25420
4,5.0,0.8,3200,BIQAE,0.7904950731664808,0.009504926833519223,0.011881158541899028,25420
4,5.0,0.8,3200,CABIQAE_latentt,0.7836832853933279,0.016316714606672167,0.02039589325834021,25420
4,5.0,0.8,6400,BAE,0.8072372556982953,0.007237255698295253,0.009046569622869066,25420
4,5.0,0.8,6400,BIQAE,0.7904950731664808,0.009504926833519223,0.011881158541899028,25420
4,5.0,0.8,6400,CABIQAE_latentt,0.7893915055527496,0.010608494447250427,0.013260618059063034,25420
4,5.0,0.8,12800,BAE,0.8039578261133402,0.003957826113340168,0.00494728264167521,25420
4,5.0,0.8,12800,BIQAE,0.7895927074292398,0.01040729257076023,0.013009115713450287,25420
4,5.0,0.8,12800,CABIQAE_latentt,0.793077022470315,0.00692297752968507,0.008653721912106338,25420
1,200.0,0.05,200,BAE,0.0712220213887295,0.0212220213887295,0.42444042777459,22180
